time,pdu_id,upf_id,cpu_allocated,observed_latency,required_cpu,required_max_latency,status,event
53.76,9,4.0,50.995159722222226,0.72,50.995159722222226,0.72,SATISFIED,REBALANCE
53.76,14,4.0,61.48045422535211,0.71,61.48045422535211,0.71,SATISFIED,REBALANCE
53.76,42,4.0,42.813435294117646,0.85,42.813435294117646,0.85,SATISFIED,REBALANCE
53.76,44,4.0,65.17251020408163,0.49,65.17251020408163,0.49,SATISFIED,REBALANCE
53.76,45,4.0,42.432900000000004,0.6999999999999998,42.432900000000004,0.7,SATISFIED,REBALANCE
53.76,47,4.0,37.59311666666667,0.8999999999999999,37.59311666666667,0.9,SATISFIED,REBALANCE
53.76,48,4.0,46.036514534883715,0.86,46.036514534883715,0.86,SATISFIED,REBALANCE
53.76,51,4.0,90.28230454545454,0.55,90.28230454545454,0.55,SATISFIED,REBALANCE
53.76,53,4.0,45.717154761904766,0.84,45.717154761904766,0.84,SATISFIED,REBALANCE
55.8,56,1.0,0.0,inf,58.49761111111111,0.72,UNSATISFIED,START
55.89,57,1.0,0.0,inf,38.75389666666667,0.75,UNSATISFIED,START
56.11,58,1.0,0.0,inf,82.36755172413794,0.58,UNSATISFIED,START
56.16,59,1.0,0.0,inf,60.75124,0.75,UNSATISFIED,START
56.55,60,1.0,0.0,inf,58.029758928571425,0.84,UNSATISFIED,START
56.71,24,0.0,34.77199666666667,0.75,,0.75,SATISFIED,TERMINATE
56.71,1,0.0,39.25727173913044,0.69,39.25727173913044,0.69,SATISFIED,REBALANCE
56.71,6,0.0,44.80635080645161,0.62,44.80635080645161,0.62,SATISFIED,REBALANCE
56.71,22,0.0,30.48658132530121,0.83,30.48658132530121,0.83,SATISFIED,REBALANCE
56.71,25,0.0,57.65680182926829,0.82,57.65680182926829,0.82,SATISFIED,REBALANCE
56.71,27,0.0,75.4910909090909,0.66,75.4910909090909,0.66,SATISFIED,REBALANCE
56.71,28,0.0,28.55842021276596,0.94,28.55842021276596,0.94,SATISFIED,REBALANCE
56.71,30,0.0,63.11866987179487,0.78,63.11866987179487,0.78,SATISFIED,REBALANCE
56.99,59,1.0,0.0,inf,,0.75,UNSATISFIED,TERMINATE
56.99,8,1.0,38.89821538461538,0.65,38.89821538461538,0.65,SATISFIED,REBALANCE
56.99,49,1.0,29.937072222222227,0.9,29.937072222222227,0.9,SATISFIED,REBALANCE
56.99,50,1.0,83.6607966101695,0.59,83.6607966101695,0.59,SATISFIED,REBALANCE
56.99,56,1.0,58.49761111111111,0.72,58.49761111111111,0.72,SATISFIED,REBALANCE
56.99,57,1.0,38.75389666666667,0.75,38.75389666666667,0.75,SATISFIED,REBALANCE
56.99,58,1.0,82.36755172413794,0.58,82.36755172413794,0.58,SATISFIED,REBALANCE
56.99,60,1.0,58.029758928571425,0.84,58.029758928571425,0.84,SATISFIED,REBALANCE
57.04,61,2.0,0.0,inf,81.40186320754718,0.53,UNSATISFIED,START
57.36,62,2.0,0.0,inf,52.38361038961039,0.77,UNSATISFIED,START
57.88,56,1.0,58.49761111111111,0.72,,0.72,SATISFIED,TERMINATE
57.88,8,1.0,38.89821538461538,0.65,38.89821538461538,0.65,SATISFIED,REBALANCE
57.88,49,1.0,29.937072222222227,0.9,29.937072222222227,0.9,SATISFIED,REBALANCE
57.88,50,1.0,83.6607966101695,0.59,83.6607966101695,0.59,SATISFIED,REBALANCE
57.88,57,1.0,38.75389666666667,0.75,38.75389666666667,0.75,SATISFIED,REBALANCE
57.88,58,1.0,82.36755172413794,0.58,82.36755172413794,0.58,SATISFIED,REBALANCE
57.88,60,1.0,58.029758928571425,0.84,58.029758928571425,0.84,SATISFIED,REBALANCE
58.56,30,0.0,63.11866987179487,0.78,,0.78,SATISFIED,TERMINATE
